time,open,high,low,close,tick_volume,pattern_id,retest_time
2026-06-21 10:46:00,14426.861,14426.861,14426.031,14426.031,59,1,2026-06-21 11:00:00
2026-06-21 10:47:00,14426.009,14426.009,14425.236,14425.236,60,1,2026-06-21 11:00:00
2026-06-21 10:48:00,14425.214,14425.214,14424.445,14424.445,59,1,2026-06-21 11:00:00
2026-06-21 10:49:00,14424.443,14424.443,14423.535,14423.535,60,1,2026-06-21 11:00:00
2026-06-21 10:50:00,14423.534,14423.534,14422.726,14422.726,59,1,2026-06-21 11:00:00
2026-06-21 10:51:00,14422.716,14422.716,14421.935,14421.935,59,1,2026-06-21 11:00:00
2026-06-21 10:52:00,14421.917,14421.917,14420.873,14420.873,60,1,2026-06-21 11:00:00
2026-06-21 10:53:00,14420.856,14420.856,14420.037,14420.037,60,1,2026-06-21 11:00:00
2026-06-21 10:54:00,14420.014,14420.014,14419.193,14419.193,60,1,2026-06-21 11:00:00
2026-06-21 10:55:00,14419.186,14419.186,14418.388,14418.388,58,1,2026-06-21 11:00:00
2026-06-21 10:56:00,14418.357,14418.357,14417.518,14417.518,60,1,2026-06-21 11:00:00
2026-06-21 10:57:00,14417.509,14417.509,14416.564,14416.564,59,1,2026-06-21 11:00:00
2026-06-21 10:58:00,14416.559,14416.559,14415.72,14415.72,60,1,2026-06-21 11:00:00
2026-06-21 10:59:00,14415.717,14415.717,14414.989,14414.989,59,1,2026-06-21 11:00:00
2026-06-21 11:00:00,14414.984,14414.984,14414.197,14414.197,58,1,2026-06-21 11:00:00
2026-06-21 11:01:00,14414.181,14414.181,14413.266,14413.266,60,1,2026-06-21 11:00:00
2026-06-21 11:02:00,14413.258,14413.258,14412.281,14412.281,59,1,2026-06-21 11:00:00
2026-06-21 11:03:00,14412.263,14412.263,14411.564,14411.564,60,1,2026-06-21 11:00:00
2026-06-21 11:04:00,14411.543,14411.543,14410.549,14410.549,59,1,2026-06-21 11:00:00
2026-06-21 11:05:00,14410.54,14410.54,14409.701,14409.701,59,1,2026-06-21 11:00:00
2026-06-21 11:06:00,14409.686,14409.686,14408.749,14408.749,59,1,2026-06-21 11:00:00
2026-06-21 11:07:00,14408.736,14408.736,14407.94,14407.94,58,1,2026-06-21 11:00:00
2026-06-21 11:08:00,14407.905,14407.905,14407.036,14407.036,60,1,2026-06-21 11:00:00
2026-06-21 11:09:00,14407.024,14407.024,14406.1,14406.1,59,1,2026-06-21 11:00:00
2026-06-21 11:10:00,14406.096,14406.096,14405.279,14405.279,59,1,2026-06-21 11:00:00
2026-06-21 11:11:00,14405.269,14405.269,14404.332,14404.332,59,1,2026-06-21 11:00:00
2026-06-21 11:12:00,14404.332,14404.332,14403.482,14403.482,59,1,2026-06-21 11:00:00
2026-06-21 11:13:00,14403.469,14403.469,14402.549,14402.549,60,1,2026-06-21 11:00:00
2026-06-21 11:14:00,14402.549,14402.549,14401.643,14401.643,60,1,2026-06-21 11:00:00
2026-06-21 11:15:00,14401.639,14401.639,14400.755,14400.755,59,1,2026-06-21 11:00:00
2026-06-21 11:16:00,14400.735,14400.735,14399.83,14399.83,60,1,2026-06-21 11:00:00
2026-06-21 11:17:00,14399.813,14399.813,14399.003,14399.003,60,1,2026-06-21 11:00:00
2026-06-21 11:18:00,14398.988,14398.988,14398.26,14398.26,57,1,2026-06-21 11:00:00
2026-06-21 11:19:00,14398.258,14398.258,14397.498,14397.498,58,1,2026-06-21 11:00:00
2026-06-21 11:20:00,14397.493,14397.493,14396.646,14396.646,58,1,2026-06-21 11:00:00
2026-06-21 11:21:00,14396.638,14396.638,14395.79,14395.79,59,1,2026-06-21 11:00:00
2026-06-21 11:22:00,14395.776,14395.776,14394.999,14394.999,58,1,2026-06-21 11:00:00
2026-06-21 11:23:00,14394.997,14394.997,14394.199,14394.199,59,1,2026-06-21 11:00:00
2026-06-21 11:24:00,14394.176,14394.176,14393.349,14393.349,59,1,2026-06-21 11:00:00
2026-06-21 11:25:00,14393.327,14393.327,14392.553,14392.553,59,1,2026-06-21 11:00:00
2026-06-21 11:26:00,14392.545,14392.545,14391.716,14391.716,58,1,2026-06-21 11:00:00
2026-06-21 11:27:00,14391.708,14391.708,14390.864,14390.864,59,1,2026-06-21 11:00:00
2026-06-21 11:28:00,14390.845,14390.845,14390.07,14390.07,58,1,2026-06-21 11:00:00
2026-06-21 11:29:00,14390.041,14390.041,14389.287,14389.287,59,1,2026-06-21 11:00:00
2026-06-21 11:30:00,14389.286,14389.286,14388.399,14388.399,60,1,2026-06-21 11:00:00
2026-06-21 11:31:00,14388.383,14388.383,14387.549,14387.549,60,1,2026-06-21 11:00:00
2026-06-21 11:32:00,14387.538,14395.345,14386.974,14395.085,59,1,2026-06-21 11:00:00
2026-06-21 11:33:00,14395.072,14395.072,14394.171,14394.171,60,1,2026-06-21 11:00:00
2026-06-21 11:34:00,14394.162,14394.162,14393.269,14393.269,60,1,2026-06-21 11:00:00
2026-06-21 11:35:00,14393.266,14393.266,14392.451,14392.451,58,1,2026-06-21 11:00:00
2026-06-21 11:36:00,14392.444,14392.444,14391.536,14391.536,60,1,2026-06-21 11:00:00
2026-06-21 11:37:00,14391.526,14391.526,14390.676,14390.676,59,1,2026-06-21 11:00:00
2026-06-21 11:38:00,14390.674,14390.674,14389.815,14389.815,58,1,2026-06-21 11:00:00
2026-06-21 11:39:00,14389.807,14389.807,14388.854,14388.854,58,1,2026-06-21 11:00:00
2026-06-21 11:40:00,14388.825,14388.825,14387.887,14387.887,60,1,2026-06-21 11:00:00
2026-06-21 11:41:00,14387.852,14408.662,14387.173,14408.499,58,1,2026-06-21 11:00:00
2026-06-21 11:42:00,14408.488,14408.488,14407.611,14407.611,57,1,2026-06-21 11:00:00
2026-06-21 11:43:00,14407.605,14408.522,14407.373,14407.826,60,1,2026-06-21 11:00:00
2026-06-21 11:44:00,14407.814,14435.219,14407.235,14434.901,59,1,2026-06-21 11:00:00
2026-06-21 11:45:00,14434.886,14434.886,14434.12,14434.12,59,1,2026-06-21 11:00:00
2026-06-21 11:46:00,14434.091,14434.091,14433.2,14433.2,60,1,2026-06-21 11:00:00
2026-06-21 11:47:00,14433.194,14433.194,14432.407,14432.407,58,1,2026-06-21 11:00:00
2026-06-21 11:48:00,14432.367,14432.367,14431.59,14431.59,57,1,2026-06-21 11:00:00
2026-06-21 11:49:00,14431.554,14434.453,14431.03,14434.049,58,1,2026-06-21 11:00:00
2026-06-21 11:50:00,14434.047,14434.047,14433.218,14433.218,59,1,2026-06-21 11:00:00
2026-06-21 11:51:00,14433.209,14433.209,14432.389,14432.389,60,1,2026-06-21 11:00:00
