time,open,high,low,close,tick_volume
2026-06-17 01:00:00,14300.351,14304.291,14283.763,14297.899,3535
2026-06-17 02:00:00,14297.887,14336.002,14287.898,14314.094,3511
2026-06-17 03:00:00,14314.085,14314.085,14278.941,14303.646,3543
2026-06-17 04:00:00,14303.644,14319.765,14295.048,14304.089,3543
2026-06-17 05:00:00,14304.088,14305.231,14277.194,14284.789,3533
2026-06-17 06:00:00,14284.767,14300.504,14268.195,14284.341,3529
2026-06-17 07:00:00,14284.306,14289.932,14264.664,14286.776,3523
2026-06-17 08:00:00,14286.755,14286.755,14247.572,14274.752,3518
2026-06-17 09:00:00,14274.746,14274.746,14224.945,14244.505,3530
2026-06-17 10:00:00,14244.491,14250.152,14216.353,14224.036,3536
2026-06-17 11:00:00,14224.032,14224.032,14187.021,14188.456,3530
2026-06-17 12:00:00,14188.45,14246.33,14186.265,14232.274,3529
2026-06-17 13:00:00,14232.257,14232.257,14182.207,14182.207,3523
2026-06-17 14:00:00,14182.196,14227.677,14166.841,14222.641,3546
2026-06-17 15:00:00,14222.623,14229.071,14197.912,14204.551,3536
2026-06-17 16:00:00,14204.551,14206.573,14174.4,14174.4,3520
2026-06-17 17:00:00,14174.396,14192.086,14156.979,14189.935,3523
2026-06-17 18:00:00,14189.932,14227.461,14178.82,14221.594,3524
2026-06-17 19:00:00,14221.572,14288.944,14204.645,14280.711,3531
2026-06-17 20:00:00,14280.68,14280.68,14238.737,14258.8,3529
2026-06-17 21:00:00,14258.774,14258.774,14206.874,14206.874,3532
2026-06-17 22:00:00,14206.854,14247.506,14187.6,14245.255,3546
2026-06-17 23:00:00,14245.227,14267.054,14237.837,14252.247,3524
2026-06-18 00:00:00,14252.223,14329.887,14241.664,14321.984,3535
2026-06-18 01:00:00,14321.967,14321.967,14284.326,14284.326,3533
2026-06-18 02:00:00,14284.318,14304.583,14261.136,14293.308,3524
2026-06-18 03:00:00,14293.285,14303.292,14255.73,14295.298,3538
2026-06-18 04:00:00,14295.292,14295.292,14248.411,14265.96,3527
2026-06-18 05:00:00,14265.958,14283.549,14253.537,14253.745,3525
2026-06-18 06:00:00,14253.736,14275.0,14238.115,14272.183,3525
2026-06-18 07:00:00,14272.158,14298.571,14265.685,14282.6,3533
2026-06-18 08:00:00,14282.599,14314.096,14271.716,14271.716,3519
2026-06-18 09:00:00,14271.71,14347.582,14254.914,14340.643,3538
2026-06-18 10:00:00,14340.636,14360.391,14332.092,14332.092,3531
2026-06-18 11:00:00,14332.085,14340.288,14311.749,14333.194,3534
2026-06-18 12:00:00,14333.187,14348.356,14301.543,14338.953,3547
2026-06-18 13:00:00,14338.943,14378.116,14317.8,14355.062,3538
2026-06-18 14:00:00,14355.06,14355.06,14320.843,14320.843,3524
2026-06-18 15:00:00,14320.832,14375.414,14304.648,14372.552,3522
2026-06-18 16:00:00,14372.541,14382.1,14343.127,14354.84,3536
2026-06-18 17:00:00,14354.798,14421.6,14345.425,14415.272,3535
2026-06-18 18:00:00,14415.254,14481.837,14410.32,14457.114,3532
2026-06-18 19:00:00,14457.114,14457.114,14428.734,14447.686,3526
2026-06-18 20:00:00,14447.655,14449.467,14429.137,14430.817,3525
2026-06-18 21:00:00,14430.805,14430.805,14385.414,14385.414,3532
2026-06-18 22:00:00,14385.374,14449.898,14374.943,14440.545,3529
2026-06-18 23:00:00,14440.53,14440.53,14398.421,14408.025,3524
2026-06-19 00:00:00,14408.024,14463.0,14381.458,14458.276,3546
2026-06-19 01:00:00,14458.252,14464.186,14433.778,14438.591,3540
2026-06-19 02:00:00,14438.589,14438.589,14386.35,14386.35,3541
2026-06-19 03:00:00,14386.319,14394.075,14348.823,14371.928,3539
2026-06-19 04:00:00,14371.907,14396.074,14367.911,14388.513,3541
2026-06-19 05:00:00,14388.501,14388.501,14336.359,14336.359,3529
2026-06-19 06:00:00,14336.357,14336.75,14315.345,14319.508,3533
2026-06-19 07:00:00,14319.507,14337.152,14288.357,14288.357,3534
2026-06-19 08:00:00,14288.341,14306.933,14265.294,14274.07,3525
2026-06-19 09:00:00,14274.06,14274.06,14225.994,14226.841,3523
2026-06-19 10:00:00,14226.8,14237.168,14209.275,14225.474,3516
2026-06-19 11:00:00,14225.465,14225.465,14180.513,14204.22,3523
2026-06-19 12:00:00,14204.213,14204.213,14162.79,14162.79,3525
2026-06-19 13:00:00,14162.78,14202.594,14160.855,14177.183,3536
2026-06-19 14:00:00,14177.158,14232.963,14162.601,14226.772,3534
2026-06-19 15:00:00,14226.759,14248.272,14205.03,14240.136,3534
2026-06-19 16:00:00,14240.134,14288.599,14226.46,14286.435,3521
2026-06-19 17:00:00,14286.422,14314.793,14275.88,14285.517,3538
2026-06-19 18:00:00,14285.491,14304.009,14266.974,14294.873,3537
2026-06-19 19:00:00,14294.865,14309.442,14273.48,14300.722,3520
2026-06-19 20:00:00,14300.697,14335.911,14294.551,14296.965,3531
2026-06-19 21:00:00,14296.942,14297.235,14259.967,14290.079,3540
2026-06-19 22:00:00,14290.059,14290.059,14254.032,14254.032,3540
2026-06-19 23:00:00,14254.02,14268.834,14238.777,14251.607,3531
2026-06-20 00:00:00,14251.589,14293.303,14232.066,14290.232,3532
2026-06-20 01:00:00,14290.228,14301.648,14269.695,14288.505,3528
2026-06-20 02:00:00,14288.501,14314.669,14274.395,14299.581,3525
2026-06-20 03:00:00,14299.569,14332.013,14288.669,14308.015,3538
2026-06-20 04:00:00,14308.013,14352.451,14298.642,14323.161,3533
